circuit,family,n_qubits,gate_count,t_count,toffoli_count,twoq_count,other_clifford_count,clifford_count,t_frac,toffoli_frac,twoq_frac,other_clifford_frac,h_count,s_count
structured_random_40,structured_random,5,54,2,0,22,30,52,0.037037037037037035,0.0,0.4074074074074074,0.5555555555555556,18,0
structured_random_41,structured_random,5,56,3,0,28,25,53,0.05357142857142857,0.0,0.5,0.44642857142857145,17,0
structured_random_42,structured_random,5,48,2,0,21,25,46,0.041666666666666664,0.0,0.4375,0.5208333333333334,19,0
structured_random_43,structured_random,5,63,4,0,28,31,59,0.06349206349206349,0.0,0.4444444444444444,0.49206349206349204,21,0
structured_random_44,structured_random,5,69,9,0,33,27,60,0.13043478260869565,0.0,0.4782608695652174,0.391304347826087,23,0
structured_random_45,structured_random,5,47,3,0,20,24,44,0.06382978723404255,0.0,0.425531914893617,0.5106382978723404,16,0
structured_random_46,structured_random,5,51,1,0,22,28,50,0.0196078431372549,0.0,0.43137254901960786,0.5490196078431373,18,0
structured_random_47,structured_random,5,50,3,0,22,25,47,0.06,0.0,0.44,0.5,20,0
structured_random_48,structured_random,5,63,5,0,30,28,58,0.07936507936507936,0.0,0.47619047619047616,0.4444444444444444,21,0
structured_random_49,structured_random,5,44,5,0,14,25,39,0.11363636363636363,0.0,0.3181818181818182,0.5681818181818182,18,0
structured_random_50,structured_random,5,48,4,0,21,23,44,0.08333333333333333,0.0,0.4375,0.4791666666666667,17,0
structured_random_51,structured_random,5,65,3,0,29,33,62,0.046153846153846156,0.0,0.4461538461538462,0.5076923076923077,22,0
structured_random_52,structured_random,5,56,5,0,22,29,51,0.08928571428571429,0.0,0.39285714285714285,0.5178571428571429,21,0
structured_random_53,structured_random,5,61,3,0,26,32,58,0.04918032786885246,0.0,0.4262295081967213,0.5245901639344263,24,0
structured_random_54,structured_random,5,44,1,0,19,24,43,0.022727272727272728,0.0,0.4318181818181818,0.5454545454545454,16,0
structured_random_55,structured_random,5,49,0,0,22,27,49,0.0,0.0,0.4489795918367347,0.5510204081632653,16,0
structured_random_56,structured_random,5,63,5,0,31,27,58,0.07936507936507936,0.0,0.49206349206349204,0.42857142857142855,19,0
structured_random_57,structured_random,5,51,1,0,22,28,50,0.0196078431372549,0.0,0.43137254901960786,0.5490196078431373,17,0
structured_random_58,structured_random,5,48,3,0,20,25,45,0.0625,0.0,0.4166666666666667,0.5208333333333334,16,0
structured_random_59,structured_random,5,45,3,0,15,27,42,0.06666666666666667,0.0,0.3333333333333333,0.6,19,0
structured_random_60,structured_random,5,50,2,0,25,23,48,0.04,0.0,0.5,0.46,14,0
structured_random_61,structured_random,5,45,1,0,20,24,44,0.022222222222222223,0.0,0.4444444444444444,0.5333333333333333,13,0
structured_random_62,structured_random,5,51,1,0,24,26,50,0.0196078431372549,0.0,0.47058823529411764,0.5098039215686274,15,0
structured_random_63,structured_random,5,51,0,0,23,28,51,0.0,0.0,0.45098039215686275,0.5490196078431373,16,0
structured_random_64,structured_random,5,57,3,0,27,27,54,0.05263157894736842,0.0,0.47368421052631576,0.47368421052631576,18,0
structured_random_65,structured_random,5,51,1,0,21,29,50,0.0196078431372549,0.0,0.4117647058823529,0.5686274509803921,18,0
structured_random_66,structured_random,5,39,2,0,19,18,37,0.05128205128205128,0.0,0.48717948717948717,0.46153846153846156,12,0
structured_random_67,structured_random,5,60,1,0,33,26,59,0.016666666666666666,0.0,0.55,0.43333333333333335,14,0
structured_random_68,structured_random,5,52,4,0,22,26,48,0.07692307692307693,0.0,0.4230769230769231,0.5,18,0
structured_random_69,structured_random,5,46,5,0,20,21,41,0.10869565217391304,0.0,0.43478260869565216,0.45652173913043476,17,0
structured_random_70,structured_random,5,53,1,0,22,30,52,0.018867924528301886,0.0,0.41509433962264153,0.5660377358490566,21,0
structured_random_71,structured_random,5,63,3,0,31,29,60,0.047619047619047616,0.0,0.49206349206349204,0.4603174603174603,20,0
structured_random_72,structured_random,5,55,3,0,25,27,52,0.05454545454545454,0.0,0.45454545454545453,0.4909090909090909,17,0
structured_random_73,structured_random,5,50,4,0,16,30,46,0.08,0.0,0.32,0.6,19,0
structured_random_74,structured_random,5,50,2,0,22,26,48,0.04,0.0,0.44,0.52,18,0
structured_random_75,structured_random,5,47,1,0,22,24,46,0.02127659574468085,0.0,0.46808510638297873,0.5106382978723404,14,0
structured_random_76,structured_random,5,55,4,0,27,24,51,0.07272727272727272,0.0,0.4909090909090909,0.43636363636363634,16,0
structured_random_77,structured_random,5,51,6,0,21,24,45,0.11764705882352941,0.0,0.4117647058823529,0.47058823529411764,16,0
structured_random_78,structured_random,5,44,2,0,20,22,42,0.045454545454545456,0.0,0.45454545454545453,0.5,12,0
structured_random_79,structured_random,5,61,3,0,31,27,58,0.04918032786885246,0.0,0.5081967213114754,0.4426229508196721,18,0
structured_random_80,structured_random,5,38,1,0,17,20,37,0.02631578947368421,0.0,0.4473684210526316,0.5263157894736842,13,0
