circuit,method,initial_gates,final_gates,initial_2q,final_2q,initial_t,final_t
paper_barenco_tof_4,agent_R_v2,114,109,48,48,56,48
paper_barenco_tof_4,agent_P_v2,114,105,48,46,56,44
paper_barenco_tof_4,agent_A_v2,114,109,48,48,56,48
paper_barenco_tof_5,basic_opt,170,162,72,72,84,72
paper_barenco_tof_5,full_reduce,170,223,72,97,84,33
paper_barenco_tof_5,teleport_reduce,170,310,72,72,84,72
paper_barenco_tof_5,agent_R_v2,170,158,72,70,84,68
paper_barenco_tof_5,agent_P_v2,170,162,72,72,84,72
paper_barenco_tof_5,agent_A_v2,170,162,72,72,84,72
paper_csla_mux_3_original,basic_opt,170,155,80,75,70,62
paper_csla_mux_3_original,full_reduce,170,371,80,179,70,44
paper_csla_mux_3_original,teleport_reduce,170,310,80,74,70,67
paper_csla_mux_3_original,agent_R_v2,170,154,80,74,70,62
paper_csla_mux_3_original,agent_P_v2,170,155,80,75,70,62
paper_csla_mux_3_original,agent_A_v2,170,155,80,75,70,62
paper_csum_mux_9_corrected,basic_opt,448,364,168,168,196,168
paper_csum_mux_9_corrected,full_reduce,448,653,168,337,196,63
paper_csum_mux_9_corrected,teleport_reduce,448,864,168,168,196,196
paper_csum_mux_9_corrected,agent_R_v2,448,364,168,168,196,168
paper_csum_mux_9_corrected,agent_P_v2,448,364,168,168,196,168
paper_csum_mux_9_corrected,agent_A_v2,448,364,168,168,196,168
paper_gf2^4_mult,basic_opt,243,207,99,99,112,96
paper_gf2^4_mult,full_reduce,243,547,99,322,112,44
paper_gf2^4_mult,teleport_reduce,243,439,99,99,112,96
paper_gf2^4_mult,agent_R_v2,243,207,99,99,112,96
paper_gf2^4_mult,agent_P_v2,243,207,99,99,112,96
paper_gf2^4_mult,agent_A_v2,243,207,99,99,112,96
paper_gf2^5_mult,basic_opt,379,319,154,154,175,150
paper_gf2^5_mult,full_reduce,379,955,154,600,175,66
paper_gf2^5_mult,teleport_reduce,379,681,154,154,175,150
paper_gf2^5_mult,agent_R_v2,379,319,154,154,175,150
paper_gf2^5_mult,agent_P_v2,379,319,154,154,175,150
paper_gf2^5_mult,agent_A_v2,379,319,154,154,175,150
paper_gf2^6_mult,basic_opt,545,455,221,221,252,216
paper_gf2^6_mult,full_reduce,545,1359,221,880,252,78
paper_gf2^6_mult,teleport_reduce,545,971,221,221,252,216
paper_gf2^6_mult,agent_R_v2,545,455,221,221,252,216
paper_gf2^6_mult,agent_P_v2,545,455,221,221,252,216
paper_gf2^6_mult,agent_A_v2,545,455,221,221,252,216
paper_gf2^7_mult,basic_opt,741,615,300,300,343,301
paper_gf2^7_mult,full_reduce,741,1887,300,1220,343,125
paper_gf2^7_mult,teleport_reduce,741,1315,300,300,343,301
paper_gf2^7_mult,agent_R_v2,741,615,300,300,343,301
paper_gf2^7_mult,agent_P_v2,741,615,300,300,343,301
paper_gf2^7_mult,agent_A_v2,741,615,300,300,343,301
paper_gf2^8_mult,basic_opt,981,805,405,405,448,384
paper_gf2^8_mult,full_reduce,981,2531,405,1702,448,147
paper_gf2^8_mult,teleport_reduce,981,1723,405,405,448,384
paper_gf2^8_mult,agent_R_v2,981,805,405,405,448,384
paper_gf2^8_mult,agent_P_v2,981,805,405,405,448,384
paper_gf2^8_mult,agent_A_v2,981,805,405,405,448,384
paper_grover_5.qc,basic_opt,831,683,288,288,336,287
paper_grover_5.qc,full_reduce,831,788,288,349,336,114
paper_grover_5.qc,teleport_reduce,831,1381,288,288,336,296
paper_grover_5.qc,agent_R_v2,831,683,288,288,336,287
paper_grover_5.qc,agent_P_v2,831,681,288,287,336,283
paper_grover_5.qc,agent_A_v2,831,677,288,286,336,283
paper_ham15-low.qc,basic_opt,443,445,236,252,161,143
